"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"3-prime FGID data Pediatric FGID lamina propria of ileum biopsies.","lamina propria of small intestine","digestive system disorder","10x 3' v2","Homo sapiens","89,849","Download Explore"
"Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19 Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19","blood","normal 2 diseases","10x 5' transcription profiling","Homo sapiens","600,929","Download Explore"
"Total - Cells of the human intestinal tract mapped across space and time Cells of the human intestinal tract mapped across space and time","15 tissues","Crohn disease normal","10x 3' v2 10x 5' v2","Homo sapiens","428,469","Download Explore"
"T, NK, ILC cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","76,965","Download Explore"
"Nasopharynx Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19","nasopharynx","normal 3 diseases","Seq-Well S3","Homo sapiens","32,588","Download Explore"
"Immune cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","182,548","Download Explore"
"Plasma cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","37,809","Download Explore"
"B cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","25,660","Download Explore"
"1160920F A single-cell and spatially resolved atlas of human breast cancers","breast","breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - T_cells A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","3 assays","Homo sapiens","35,214","Download Explore"
"Myeloid cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","42,114","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - Cancer_epithelial A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","10x 3' v2 10x 5' v1","Homo sapiens","24,489","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - Stromal A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","3 assays","Homo sapiens","19,601","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - B_cells A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","3 assays","Homo sapiens","3,206","Download Explore"
"CID4290 A single-cell and spatially resolved atlas of human breast cancers","breast","invasive ductal breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"CID44971 A single-cell and spatially resolved atlas of human breast cancers","breast","invasive ductal breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Stromal cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","15,438","Download Explore"
"CID4535 A single-cell and spatially resolved atlas of human breast cancers","breast","invasive lobular breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"CID4465 A single-cell and spatially resolved atlas of human breast cancers","breast","invasive ductal breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"1142243F A single-cell and spatially resolved atlas of human breast cancers","breast","breast carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Epithelial cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","168,295","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","3 assays","Homo sapiens","100,064","Download Explore"
"All Cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","370,115","Download Explore"
"Mast cells Spatially organized multicellular immune hubs in human colorectal cancer","colorectum","colon adenocarcinoma normal","10x 3' v2 10x 3' v3","Homo sapiens","3,834","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - Myeloid A single-cell and spatially resolved atlas of human breast cancers","breast","3 diseases","3 assays","Homo sapiens","9,675","Download Explore"
"A single-cell and spatially-resolved atlas of human breast cancers - Plasmablasts A single-cell and spatially resolved atlas of human breast cancers","breast","invasive ductal breast carcinoma invasive lobular breast carcinoma","3 assays","Homo sapiens","3,524","Download Explore"
"Cerebellum Spatial and cell type transcriptional landscape of human cerebellar development","cerebellum","normal","SPLiT-seq","Homo sapiens","69,174","Download Explore"
"Combined human neural dataset Single-cell transcriptome profiling of the human developing spinal cord reveals a conserved genetic programme with human-specific features","neural tube","normal","10x 3' v3","Homo sapiens","43,485","Download Explore"
"scRNA-seq of foveal and parafoveal retina Human photoreceptor cells from different macular subregions have distinct transcriptional profiles","fovea centralis perifoveal part of retina","macular degeneration normal","10x 3' v3","Homo sapiens","34,323","Download Explore"
"A total of 27,092 droplet-based single-nucleus transcriptomes profiled across 11 cell types in the choroid plexus Dysregulation of brain and choroid plexus cell types in severe COVID-19","choroid plexus","4 diseases","10x 3' v3","Homo sapiens","27,092","Download Explore"
"A total of 38,217 droplet-based single-nucleus transcriptomes profiled across 14 cell types in the frontal cortex Dysregulation of brain and choroid plexus cell types in severe COVID-19","medial orbital frontal cortex","9 diseases","10x 3' v3","Homo sapiens","38,217","Download Explore"
"A molecular single-cell lung atlas of lethal COVID-19 A molecular single-cell lung atlas of lethal COVID-19","lung","COVID-19 normal","10x 3' v3","Homo sapiens","116,313","Download Explore"
"snRNA-seq of human anterior and posterior hippocampus Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans","hippocampal formation","epilepsy","10x 3' v2 10x 3' v3","Homo sapiens","129,905","Download Explore"
"normal - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","kidney","normal","10x 3' v2","Homo sapiens","6,044","Download Explore"
"chRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","kidney","chromophobe renal cell carcinoma","10x 3' v2","Homo sapiens","2,576","Download Explore"
"ccRCC - Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response Single-cell analyses of renal cell cancers reveal insights into tumor microenvironment, cell of origin, and therapy response","kidney","clear cell renal carcinoma","10x 3' v2","Homo sapiens","20,509","Download Explore"
"Human - Lung v2 (HLCA) Azimuth meta-analysis of human scRNA-seq datasets","3 tissues","normal","5 assays","Homo sapiens","584,884","Download Explore"
"Developing Human Atlas Charting human development using a multi-endodermal organ atlas and organoid models","12 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","155,232","Download Explore"
"Adult duodenum Charting human development using a multi-endodermal organ atlas and organoid models","duodenum","normal","10x 3' v2","Homo sapiens","5,200","Download Explore"
"nygc multimodal pbmc Integrated analysis of multimodal single-cell data","blood","normal","10x 3' v3","Homo sapiens","161,764","Download Explore"
"adult human skin cells of health and psoriasis vulgaris Adult human skin cells of health and psoriasis vulgaris","skin of body","normal psoriasis","10x 3' v3","Homo sapiens","24,126","Download Explore"
"Single-cell multi-omics analysis of the immune response in COVID-19 Single-cell multi-omics analysis of the immune response in COVID-19","blood","normal 2 diseases","10x 3' transcription profiling","Homo sapiens","647,366","Download Explore"
"scRNA-seq data of human fallopian tube Cell-type specific analysis of physiological action of estrogen inmouse oviducts","fallopian tube","normal","10x 3' v3","Homo sapiens","1,790","Download Explore"
"Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy Single-cell sequencing links multiregional immune landscapes and tissue-resident T cells in ccRCC to tumor topology and therapy efficacy","3 tissues","clear cell renal carcinoma","10x 5' v2","Homo sapiens","167,283","Download Explore"
"Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor. Sex-Specific Control of Human Heart Maturation by the Progesterone Receptor","apical region of left ventricle","normal","10x 3' v3","Homo sapiens","51,176","Download Explore"
"49 years old male - Airway Wash (1 day post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","2,489","Download Explore"
"74 years old female - Airway Wash (4 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","4,147","Download Explore"
"74 years old female - Fresh PBMCs (7 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","4,846","Download Explore"
"Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Adaptive Cells Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19","blood","COVID-19 normal","10x 5' v1","Homo sapiens","246,964","Download Explore"
"49 years old male - Fresh PBMCs (2 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","11,574","Download Explore"
"74 years old female - Airway Wash (6 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","2,834","Download Explore"
"49 years old male - Airway Wash (2 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","9,852","Download Explore"
"74 years old female - Airway Wash (8 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","2,065","Download Explore"
"66 years old female - Airway Wash (7 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","4,594","Download Explore"
"66 years old female - Airway Wash (2 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","7,025","Download Explore"
"Large-scale single-cell analysis reveals critical immune characteristics of COVID-19 patients COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas","3 tissues","COVID-19 normal","10x 3' v3 10x 5' v2","Homo sapiens","1,462,702","Download Explore"
"74 years old female - Airway Wash (1 day post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","4,651","Download Explore"
"66 years old female - Fresh PBMCs (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","4,792","Download Explore"
"Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19: Innate Cells Time-resolved Systems Immunology Reveals a Late Juncture Linked to Fatal COVID-19","blood","COVID-19 normal","10x 5' v1","Homo sapiens","125,117","Download Explore"
"49 years old male - Airway Wash (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","2,487","Download Explore"
"66 years old female - Fresh PBMCs (4 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","5,696","Download Explore"
"66 years old female - Fresh PBMCs (2 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","7,097","Download Explore"
"74 years old female - Airway Wash (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","5,834","Download Explore"
"66 years old female - Airway Wash (4 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","2,598","Download Explore"
"49 years old male - Fresh PBMCs (1 day post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","4,603","Download Explore"
"82 years old female - Fresh PBMCs (1 day post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","4,232","Download Explore"
"66 years old female - Airway Wash (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","3,434","Download Explore"
"66 years old female - Fresh PBMCs (7 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","3,726","Download Explore"
"74 years old female - Airway Wash (7 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","810","Download Explore"
"82 years old female - Airway Wash (1 day post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","1,074","Download Explore"
"74 years old female - Fresh PBMCs (4 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","5,080","Download Explore"
"49 years old male - Fresh PBMCs (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","9,337","Download Explore"
"74 years old female - Fresh PBMCs (8 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","4,755","Download Explore"
"74 years old female - Airway Wash (5 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","respiratory airway","COVID-19","10x 3' v3","Homo sapiens","1,324","Download Explore"
"74 years old female - Fresh PBMCs (3 days post-intubation) Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19","blood","COVID-19","10x 3' v3","Homo sapiens","5,608","Download Explore"
"Single-cell gene expression profiling of SARS-CoV-2 infected human cell lines - Calu-3 Single-cell gene expression profiling of SARS-CoV-2 infected human cell lines","Calu-3 (cell line)","normal 2 diseases","Drop-seq","Homo sapiens","48,890","Download Explore"
"A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells","upper outer quadrant of breast","normal","10x 3' v2 10x 3' v3","Homo sapiens","31,696","Download Explore"
"Single-cell gene expression profiling of SARS-CoV-2 infected human cell lines - H1299 Single-cell gene expression profiling of SARS-CoV-2 infected human cell lines","NCI-H1299 (cell line)","normal 2 diseases","Drop-seq","Homo sapiens","81,736","Download Explore"
"Human tonsil memory B cells scRNA Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics","tonsil","normal","10x 3' v2 10x 5' v1","Homo sapiens","21,595","Download Explore"
"Human tonsil T cells scRNA Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics","tonsil","normal","10x 3' v2 10x 5' v1","Homo sapiens","8,753","Download Explore"
"Human tonsil complete integrated cell set scRNA Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics","tonsil","normal","10x 3' v2 10x 5' v1","Homo sapiens","32,607","Download Explore"
"Human tonsil B cells scRNA Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics","tonsil","normal","10x 3' v2 10x 5' v1","Homo sapiens","25,728","Download Explore"
"Human tonsil nonlymphoid cells scRNA Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics","tonsil","normal","10x 3' v2 10x 5' v1","Homo sapiens","363","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC oligodendrocyte Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","8,168","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Myofibroblasts and Mesothelium Spatiotemporal analysis of human intestinal development at single-cell resolution","colon ileum","normal","10x 3' v3","Homo sapiens","2,833","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG excitatory neurons Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","15,833","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Epithelium Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","17,622","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG inhibitory neurons Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","7,506","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","3,799","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Superior frontal gyrus Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","63,608","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A6 Spatiotemporal analysis of human intestinal development at single-cell resolution","ileum","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A9 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG oligodendrocyte Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","15,772","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","76,592","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A7 Spatiotemporal analysis of human intestinal development at single-cell resolution","ileum","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC inhibitory neurons Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","5,331","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A1 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Immune Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","2,199","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC microglia Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","5,572","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fibroblasts Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","24,081","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Adult A2 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG astrocytes Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","superior frontal gyrus","Alzheimer disease normal","10x 3' v2","Homo sapiens","5,970","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A4 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Neural Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","4,144","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Muscularis Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","4,211","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Pericytes Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","4,163","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A8 Spatiotemporal analysis of human intestinal development at single-cell resolution","colon","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC excitatory neurons Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","8,362","Download Explore"
"Spatiotemporal analysis of human intestinal development at single-cell resolution: Endothelium Spatiotemporal analysis of human intestinal development at single-cell resolution","3 tissues","normal","10x 3' v3","Homo sapiens","4,154","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: Entorhinal Cortex Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","42,528","Download Explore"
"Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC astrocytes Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease","entorhinal cortex","Alzheimer disease normal","10x 3' v2","Homo sapiens","5,500","Download Explore"
"Human healthy adult skin scRNA-seq data Developmental cell programs are co-opted in inflammatory skin disease","dermis skin epidermis","normal","10x 3' v2","Homo sapiens","195,739","Download Explore"
"Fibroblasts — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","59,341","Download Explore"
"Ventricular cardiomyocytes — Cells of the adult human heart Cells of the adult human heart","4 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","125,289","Download Explore"
"Vascular — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","195,395","Download Explore"
"All — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","486,134","Download Explore"
"Immune — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","40,868","Download Explore"
"Atrial cardiomyocytes — Cells of the adult human heart Cells of the adult human heart","left cardiac atrium right cardiac atrium","normal","10x 3' v2 10x 3' v3","Homo sapiens","23,483","Download Explore"
"Neuronal — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","3,961","Download Explore"
"Adipocytes — Cells of the adult human heart Cells of the adult human heart","6 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","3,799","Download Explore"
"Fetal Human Gut (6-11 PCW) Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease","3 tissues","normal","10x 3' v2","Homo sapiens","62,849","Download Explore"
"Esophagus Epithelium scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation","epithelium of esophagus","normal","10x 3' v2","Homo sapiens","87,947","Download Explore"
"scRNA-seq data analysis of endothelium-enriched mesenteric arterial tissues from human donors Stress-induced RNA–chromatin interactions promote endothelial dysfunction","mesenteric artery","normal type 2 diabetes mellitus","10x 3' v3","Homo sapiens","11,243","Download Explore"
"Direct Exposure to SARS-CoV-2 and Cigarette Smoke Increases Infection Severity and Alters the Stem Cell-Derived Airway Repair Response Direct Exposure to SARS-CoV-2 and Cigarette Smoke Increases Infection Severity and Alters the Stem Cell-Derived Airway Repair Response","respiratory basal cell (primary cell culture)","normal","10x 3' v3","Homo sapiens","19,361","Download Explore"
"scRNA-seq data analysis of HUVECs treated with high glucose and TNFα Stress-induced RNA–chromatin interactions promote endothelial dysfunction","endothelial cell (primary cell culture)","normal","10x 3' v2","Homo sapiens","59,605","Download Explore"
"Spleen scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation","spleen","normal","10x 3' v2","Homo sapiens","94,256","Download Explore"
"Lung Parenchyma scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation","lung parenchyma","normal","10x 3' v2","Homo sapiens","57,019","Download Explore"
"Paediatric Human Gut (4-14y) Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease","ileum","Crohn disease normal","10x 3' v2","Homo sapiens","22,502","Download Explore"
"Single cell RNA sequencing of CD19 CAR T-cell infusion products Single cell RNA sequencing of CD19 CAR T-cell infusion products","T cell (primary cell culture)","B-cell non-Hodgkin lymphoma","10x 5' v1","Homo sapiens","133,405","Download Explore"
"Olah et al (2020) Single-cell Human Microglia Live Human Microglia Single-cell RNA-seq","dorsolateral prefrontal cortex temporal cortex","Alzheimer disease temporal lobe epilepsy","10x 3' v2","Homo sapiens","16,245","Download Explore"
"Krasnow Lab Human Lung Cell Atlas, 10X A molecular cell atlas of the human lung from single cell RNA sequencing","blood lung","normal","10x 3' v2","Homo sapiens","65,662","Download Explore"
"Krasnow Lab Human Lung Cell Atlas, Smart-seq2 A molecular cell atlas of the human lung from single cell RNA sequencing","blood lung","normal","Smart-seq2","Homo sapiens","9,409","Download Explore"
"PBMCs Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH","blood","COVID-19 normal","10x 5' v1","Homo sapiens","59,506","Download Explore"
"Autoimmunity PBMCs Sampling peripheral blood and matched nasal swabs from donors with prior immunodeficiencies and autoimmune conditions infected with SARS-CoV-2","blood","COVID-19","10x 5' v1","Homo sapiens","97,499","Download Explore"
"Survey of human embryonic development A human cell atlas of fetal gene expression","15 tissues","normal trisomy 18","sci-RNA-seq3","Homo sapiens","4,062,980","Download Explore"
"Survey of human embryonic development (1 million cells subset) A human cell atlas of fetal gene expression","15 tissues","normal trisomy 18","sci-RNA-seq3","Homo sapiens","1,001,288","Download Explore"
"Single-cell multiomic profiling of human lungs across age groups LungMAP — Human data from a broad age healthy donor group","lung","normal","10x 3' v3","Homo sapiens","46,500","Download Explore"
"Stromal cell diversity associated with immune evasion in human triple‐negative breast cancer Stromal cell diversity associated with immune evasion in human triple‐negative breast cancer","mammary gland connective tissue","triple-negative breast carcinoma","10x 3' v2","Homo sapiens","24,271","Download Explore"
