"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"snRNA-seq of the human quadriceps tendon Exploring cellular changes in ruptured human quadriceps tendons at single-cell resolution","tendon of quadriceps femoris","injury normal","10x 3' v3","Homo sapiens","12,808","Download Explore"
"CortexCultures4Days11DaysInVitro Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days","telencephalon","normal","10x 3' v3","Homo sapiens","22,370","Download Explore"
"CortexCulturesTwoWeeksInVitro Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days","telencephalon","normal","10x 3' v3","Homo sapiens","7,774","Download Explore"
"CortexCulturesOneMonthInVitro Single cell RNA-seq of slice explant cultures of human embryo telencephalon, cultured using the Organotypic Timelapse recording with Transcriptomic Readout (OTTR) protocol for 4-29 days","telencephalon","normal","10x 3' v3","Homo sapiens","2,988","Download Explore"
"Brain vascular single-cell multi-omics elucidates disease risk associations - snRNA-seq Brain vascular single-cell multi-omics elucidates disease risk associations","dorsolateral prefrontal cortex","normal 2 diseases","10x multiome","Homo sapiens","65,479","Download Explore"
"Fibroblasts Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","71,657","Download Explore"
"Neural_crest Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","6,465","Download Explore"
"Immune Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","8,461","Download Explore"
"Vascular_endothelial Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","7,358","Download Explore"
"Epithelial Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","9,705","Download Explore"
"All_cells Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception","3 tissues","normal","10x 3' v3","Homo sapiens","156,726","Download Explore"
